Park Name,Latitude,Longitude,State
Abraham Lincoln Birthplace National Historical Park,37.5320335,-85.733899,KY
Acadia National Park,44.3385559,-68.2733346,ME
Adams National Historical Park,42.2521218,-71.0033201,MA
African American Civil War Memorial,38.916303,-77.025317,DC
African Burial Ground National Monument,40.7145049,-74.0043973,NY
Agate Fossil Beds National Monument,42.4252103,-103.7342402,NE
Ala Kahakai National Historic Trail,19.6868071,-156.0347607,HI
Alagnak Wild River,59.0134287,-156.1181312,AK
Alcatraz Island,37.8269775,-122.4229555,CA
Alibates Flint Quarries National Monument,35.5836092,-101.6698299,TX
Allegheny Portage Railroad National Historic Site,40.457305,-78.5492567,PA
American Memorial Park,15.2160903,145.7200674,MP
Amistad National Recreation Area,29.4955775,-100.9952685,TX
Andersonville National Historic Site,32.2002948,-84.1303207,GA
Andrew Johnson National Historic Site,36.1629374,-82.8295391,TN
Aniakchak National Monument and Preserve,56.903644,-158.0989777,AK
Antietam National Battlefield,39.4598731,-77.742294,MD
Apostle Islands National Lakeshore,46.9302046,-90.6333321,WI
Appalachian National Scenic Trail,38.9113559,-78.0529206,VA
Appomattox Court House National Historical Park,37.3775201,-78.7960069,VA
Arches National Park,38.733081,-109.5925139,UT
Arkansas Post National Memorial,34.0210974,-91.3478851,AR
Arlington House:  The Robert E. Lee Memorial,38.8811673,-77.0726163,VA
Assateague Island National Seashore,38.0607973,-75.2362382,MD
Aztec Ruins National Monument,36.8372086,-108.000093,NM
Badlands National Park,43.8553804,-102.3396912,SD
Bandelier National Monument,35.7646658,-106.3228338,NM
Belmont-Paul Women's Equality National Monument,38.892316,-77.003768,NE
Bent's Old Fort National Historic Site,38.0404402,-103.4295308,CO
Bering Land Bridge National Preserve,65.9258669,-164.4377877,AK
Capitol Reef National Park,38.3669703,-111.2615042,UT
Capulin Volcano National Monument,36.7810744,-103.9695127,NM
Carl Sandburg Home National Historic Site,35.2714108,-82.4472471,NC
Carlsbad Caverns National Park,32.1478553,-104.5567138,NM
Carter G. Woodson Home National Historic Site,38.9108164,-77.0242075,DC
Casa Grande Ruins National Monument,32.9954589,-111.5355282,AZ
Castillo De San Marcos National Monument,29.8978618,-81.3115187,FL
Castle Clinton National Monument,40.7034401,-74.0168023,NY
Castle Mountains National Monument ,35.3169022,-115.0886679,CA
Catoctin Mountain Park,39.633851,-77.448212,MD
